p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CCCCCCCCCC)C=C(C7=NC=C(C8=CC(CCCCCCCCCC)=C(C)S8)N=C7)S6)S5,7.6,7.4,16.3,0.581,0.8,1.98,110.8,44.3,2.5,5.41,3.43
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(F)C(CCCCCC)=C(C)S6)S5,11.1,10.6,17.1,0.628,0.94,2.03,201.0,67.0,3.0,5.51,3.48
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(F)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(F)=C(C)S%10)S7)S6)S5,11.5,11.0,24.9,0.56,0.78,2.01,67.6,26.0,2.6,5.47,3.46
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(SC(C(OCCCCCCCC)=O)=C7F)C7=C(C)S6)S5,9.5,9.3,17.9,0.613,0.86,2.08,128.7,61.3,2.1,5.19,3.11
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C7C(SC(C(OCC(CC)CCCC)=O)=C7F)=C(C)S6)S5,10.8,10.8,22.3,0.7,0.695,2.01,141.0,65.0,2.17,5.213333333333334,3.34
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC7=C(C(SC(C)=C8)=C8C(N7CC(CCCCCCCC)CCCCCCCCCC)=O)S6)S5,10.96,10.45,19.18,0.704,0.81,2.27,50.0,25.0,2.0,5.2,2.93
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC7=C(C(SC(C)=C8)=C8N(CC(CCCCCC)CCCCCCCC)C7=O)S6)S5,8.33,8.04,13.97,0.596,1.0,2.73,96.1,31.2,3.08,5.54,2.81
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC7=C(C8=C(C9=NN(CC(CCCCCCCC)CCCCCCCCCC)N=C97)C=C(C)S8)S6)S5,12.49,12.2,18.46,0.72,0.94,2.33,56.0,27.6,2.03,5.45,3.12
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=C7N=C(C%10=C(F)C(F)=C(CC(CC)CCCC)S%10)C(C%11=C(F)C(F)=C(CC(CC)CCCC)S%11)=N9)S6)S5,4.68,4.77,8.33,0.55,1.03,2.3,83.8,52.4,1.6,5.4,3.1
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=C7N=C(C%10=CC(F)=C(CC(CC)CCCC)C(F)=C%10)C(C%11=CC(F)=C(CC(CC)CCCC)C(F)=C%11)=N9)S6)S5,7.3,6.2,11.1,0.54,1.09,2.3,50.0,25.0,2.0,5.4,3.1
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=C7N=C(C%10=CC(F)=C(CC(CC)CCCC)S%10)C(C%11=CC(F)=C(CC(CC)CCCC)S%11)=N9)S6)S5,6.4,6.3,10.5,0.58,1.04,2.3,50.0,25.0,2.0,5.4,3.1
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=C7N=C(C%10=CC(F)=C(OCC(CC)CCCC)C(F)=C%10)C(C%11=CC(F)=C(OCC(CC)CCCC)C(F)=C%11)=N9)S6)S5,5.74,5.38,9.02,0.58,1.04,2.3,83.8,52.4,1.6,5.4,3.1
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C(SC%11=C%12C%13=CC=C(CC(CC)CCCC)S%13)=CC%11=C(C%14=CC=C(CC(CC)CCCC)S%14)C%15=C%12C=C(C%16=CC=C(C%17=C(F)C(F)=C(C%18=CC=C(C)S%18)C%19=NN(CC(CCCCCCCC)CCCCCC)N=C%19%17)S%16)S%15)S%10)S7)S6)S5,10.02,9.94,17.58,0.619,0.91,1.82,191.8,60.2,3.19,5.48,3.66
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C=C(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)S8)=C(C9=CC=C(C)S9)S7)S6)S5,3.72,3.72,12.41,0.478,0.628,1.63,52.4,19.0,2.76,4.94,3.31
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=CC=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCCCC)CCCCCCCCCC)N=C97)S6)S5,7.39,7.19,14.54,0.66,0.77,1.75,70.5,30.8,2.29,5.19,3.44
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CN=C(C7=C8SC(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)=CC8=C(C9=NC=C(C)S9)S7)S6)S5,10.51,10.39,17.61,0.618,0.954,1.96,50.0,25.0,2.0,5.48,3.52
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(C7CCCCC7)C=C(C8=C9C(C(C%10=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%10C9=O)=O)=C(C%11=CC(C%12CCCCC%12)=C(C)S%11)S8)S6,8.21,8.21,13.64,0.602,0.95,1.85,99.2,50.1,1.98,5.52,3.67
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(CC(CC)CCCC)C=C(C7=NC8=C(N=C(C9=CC(CC(CC)CCCC)=C(C)S9)S8)S7)S6,11.5,11.3,16.4,0.762,0.92,1.97,46.7,24.6,1.9,5.31,3.34
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(CCCCCC)C=C(C7=C8C(C(N(CCCCCCCC)C8=O)=O)=C(C9=CC(CCCCCC)=C(C)S9)S7)S6,10.2,9.8,15.4,0.68,0.97,1.88,350.0,129.6,2.7,5.56,3.705
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(CCCCCCCC)C=C(C7=C(/C=C8C(N(CC)/C(S\8)=C(C#N)\C#N)=O)C=C(C9=CC(CCCCCCCC)=C(C)S9)S7)S6,5.3,5.1,11.51,0.452,1.015,1.74,88.4,35.2,2.51,5.16,3.42
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(F)C(C(OC)=O)=C(C)S6,11.39,11.39,17.66,0.631,1.01,1.95,67.6,32.2,2.1,5.6,3.65
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(F)C(F)=C(C)S6,9.1,9.1,16.9,0.62,0.94,2.0,49.0,32.0,1.5,5.22,3.22
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(F)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(F)=C(C)S%10)S7)S6,13.2,12.4,19.6,0.72,0.94,2.01,67.6,26.0,2.6,5.47,3.46
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(C(OCC(CCCC)CCCCCC)=O)=C(C7=CC=C(C)S7)S6,9.35,9.16,15.3,0.657,0.93,1.86,307.8,114.0,2.7,5.43,3.57
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCCCCCC)=C(C7=CC8=C(C9=C(C(N(CC(CCCCCC)CCCCCCCC)C8=O)=O)C=C(C%10=C(CCCCCCCCCC)C=C(C)S%10)S9)S7)S6,10.2,9.86,18.84,0.694,0.78,1.87,90.6,44.0,2.06,5.47,3.6
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCCCCCCC)N=C78)=C(C(C(N9CCCCCCCC)=O)=C8C%10=CC=C(C)S%10)C9=O)S6,9.43,9.32,16.84,0.615,0.91,1.88,145.4,90.9,1.6,5.34,3.46
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCCCCCCC)N=C7C(C8=CC=C(C)S8)=C9C(N%10CCCCCCCC)=O)=C9C%10=O)S6,7.62,7.48,15.23,0.556,0.9,2.18,115.9,47.9,2.42,5.33,3.15
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C8=C(C(C(OCC(CC)CCCC)=O)=C(C9=CC=CS9)S8)S7)S6,11.38,10.83,17.9,0.71,0.895,1.89,233.8,136.7,1.71,5.23,3.34
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,15.4,15.3,25.2,0.77,0.8,1.8,117.0,58.5,2.0,5.302304832713754,3.386765799256505
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CCCCCCCC)SC(CCCCCCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,9.12,8.99,15.93,0.62,0.92,1.8,169.3,66.4,2.55,5.26,3.46
CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,12.8,12.3,17.2,0.79,0.94,2.06,80.4,38.3,2.1,5.435294117647058,3.3741176470588234
CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=C(CCCCCCCC)C=C(C7=NN=C(C8=CC(CCCCCCCC)=C(C)S8)S7)S6,11.72,11.25,17.15,0.677,1.01,2.57,66.4,31.6,2.1,5.35,2.78
CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,10.78,10.64,15.68,0.7,0.97,1.8,28.7,12.7,2.26,5.38,3.58
CC(SC1=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCCCC)CCCCCCCC)S4)C5=C2C=C(S5)C6=C(CCCCCCCC)C=C(C7=NN=C(C8=CC(CCCCCCCC)=C(C)S8)O7)S6,12.34,12.07,17.02,0.681,1.06,2.79,83.6,41.8,2.0,5.68,2.89
CC(SC1=C2C3=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S4)C5=C2C=C(S5)C6=CC(C#N)=C(/C=C/C7=C(C#N)C=C(C)S7)S6,0.05,0.05,0.41,0.3,0.42,1.83,197.6,76.0,2.6,5.65,3.82
CC(SC1=C2C3=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S4)C5=C2C=C(S5)C6=CC(F)=C(/C=C/C7=C(F)C=C(C)S7)S6,6.5,6.5,12.2,0.6,0.88,1.9,974.4,336.0,2.9,5.23,3.33
CC(SC1=C2C3=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S3)=CC1=C(C4=CC=C(CC(CCCCCCCC)CCCCCCCCCC)S4)C5=C2C=C(S5)C6=CC=C(/C=C/C7=CC=C(C)S7)S6,5.62,5.62,11.2,0.65,0.78,1.95,842.4,351.0,2.4,5.06,3.11
CC(SC1=C2C3=CC=C(OCC(CC)CCCC)C=C3)=CC1=C(C4=CC=C(OCC(CC)CCCC)C=C4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,10.8,10.5,18.1,0.59,1.01,2.06,107.0,42.0,2.55,5.42,3.36
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)C=C3)=CC1=C(C4=CC=C(SCC(CC)CCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCC)CCCCCCCC)N=C97)S6)S5,10.86,10.54,17.91,0.661,0.88,1.96,48.3,23.0,2.1,5.32,3.36
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CC)CCCC)C=C(C7=CC=C(C8=CC(CC(CC)CCCC)=C(C)S8)C9=NSN=C79)S6)S5,8.28,8.28,16.93,0.56,0.873,1.71,22.1,10.5,2.1,5.24,3.53
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,10.49,10.49,17.84,0.625,0.941,1.78,43.1,18.1,2.38,5.3,3.52
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C7=C8C(C=C(C(OCC(CCCCCCCC)CCCCCCCCCC)=O)S8)=C(C9=CC=C(C)S9)S7)S6)S5,5.35,5.35,14.61,0.501,0.73,1.64,31.2,13.4,2.33,5.08,3.44
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(S6)C(C7=NN(CC(CCCCCC)CCCC)N=C78)=CC9=C8C=C(C%10=CC=C(C)S%10)C%11=NN(CC(CCCCCC)CCCC)N=C%119)S5,11.31,11.0,18.65,0.689,0.88,2.09,106.9,43.1,2.48,5.39,3.3
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=C(C7CCCCC7)C=C(C8=C9C(C(C%10=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%10C9=O)=O)=C(C%11=CC(C%12CCCCC%12)=C(C)S%11)S8)S6,9.63,9.63,14.73,0.658,0.96,1.85,131.8,58.5,2.25,5.47,3.62
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(C(OCC(CCCC)CCCCCC)=O)=C(C7=CC=C(C)S7)S6,10.12,9.75,16.4,0.643,0.96,1.89,197.6,104.0,1.9,5.47,3.58
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC(CCCCCCCCCC)=C(C7=CC8=C(C9=C(C(N(CC(CCCCCC)CCCCCCCC)C8=O)=O)C=C(C%10=C(CCCCCCCCCC)C=C(C)S%10)S9)S7)S6,10.55,10.29,16.33,0.687,0.94,1.88,73.0,38.0,1.92,5.53,3.65
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCCCCCCC)N=C78)=C(C(C(N9CCCCCCCC)=O)=C8C%10=CC=C(C)S%10)C9=O)S6,9.12,9.03,16.62,0.6,0.915,1.84,38.9,21.6,1.8,5.38,3.54
CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,8.94,8.94,15.32,0.64,0.92,1.78,50.0,25.0,2.0,5.37,3.59
CC(SC1=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(SCC(CCCC)CCCCCC)S4)C5=C2C(SC(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCC)CCCCCCCC)N=C97)S6)=C%10)=C%10S5,12.47,12.25,19.5,0.692,0.905,1.81,78.4,39.2,2.0,5.4,3.59
CC(SC1=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(SCC(CCCC)CCCCCC)S4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCC)CCCCCCCC)N=C97)S6)S5,10.59,10.38,17.52,0.645,0.918,1.82,68.4,34.2,2.0,5.38,3.56
CC(SC1=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=CC1=C(C4=CC=C(SCC(CCCC)CCCCCC)S4)C5=C2C=C(S5)C6=C(CCCCCCCC)C=C(C7=NN=C(C8=CC(CCCCCCCC)=C(C)S8)S7)S6,12.8,12.35,17.78,0.654,1.1,2.59,68.2,35.9,1.9,5.39,2.8
CC(SC1=C2C3=CC=C([Si](CCC)(CCC)CCC)S3)=CC1=C(C4=CC=C([Si](CCC)(CCC)CCC)S4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)[Se]8)C9=NN(CC(CCCCCCCC)CCCCCC)N=C97)[Se]6)S5,11.04,10.81,17.04,0.712,0.91,1.75,27.1,16.2,1.67,5.41,3.66
CC(SC1=C2C3=CC=C([Si](CCC)(CCC)CCC)[Se]3)=CC1=C(C4=CC=C([Si](CCC)(CCC)CCC)[Se]4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCCCC)CCCCCC)N=C97)S6)S5,11.41,11.27,17.11,0.695,0.96,1.83,42.0,22.6,1.86,5.49,3.66
CC(SC1=C2C3=CC=CC(SCC(CC)CCCC)=C3)=CC1=C(C4=CC(SCC(CC)CCCC)=CC=C4)C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCC)CCCCCCCC)N=C97)S6)S5,13.16,13.01,18.02,0.715,0.95,2.0,38.0,20.0,1.9,5.4,3.4
CC(SC1=C2CCC(CCCCCC)CCCC)=CC1=C(CCC(CCCCCC)CCCC)C3=C2C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CCOCCOCCOCCOC)N=C75)S4)S3,7.06,7.06,15.44,0.525,0.87,1.99,410.4,120.7,3.4,5.42,3.43
CC(SC1=C2CCC(CCCCCC)CCCC)=CC1=C(CCC(CCCCCC)CCCC)C3=C2C=C(C4=CC=C(C5=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C(C6=CC=C(C)S6)C7=NN(CC(CCCC)CCCCCC)N=C75)S4)S3,3.57,3.57,11.58,0.434,0.709,2.06,193.7,66.8,2.9,5.28,3.22
CC(SC1=C2OCC(CC)CCCC)=CC1=C(OCC(CC)CCCC)C3=C2C=C(C4=C(F)C(CCCCCC)=C(C)S4)S3,1.1,0.6,3.2,0.335,0.92,2.08,29.0,2.0,14.5,5.47,3.39
CC(SC1=C2OCC(CC)CCCC)=CC1=C(OCC(CC)CCCC)C3=C2C=C(S3)C4=C(F)C(F)=C(C)S4,5.6,5.6,11.6,0.53,0.94,2.1,28.0,13.0,2.1,5.29,3.19
CC(SC1=C2OCC(CC)CCCC)=CC1=C(OCC(CC)CCCC)C3=C2C=C(S3)C4=CC=C(C)S4,2.3,2.3,7.6,0.41,0.79,2.1,48.0,28.0,1.7,5.03,2.93
CC(SC1=C2OCCCCCCCCCCCC)=CC1=C(OCCCCCCCCCCCC)C3=C2C=C(S3)C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4,6.94,6.87,13.77,0.63,0.8,1.62,18.1,12.2,1.48,5.1,3.48
CC(SC1=C2OCCOCCOCCOC)=CC1=C(OCCOCCOCCOC)C3=C2C=C(C4=CC=C(C5=C(OCCOCCOCCOC)C(OCCOCCOCCOC)=C(C6=CC=C(C)S6)C7=NN(CC(CCCC)CCCCCC)N=C75)S4)S3,1.23,1.23,9.51,0.336,0.382,2.01,48.9,23.3,2.1,5.18,3.17
CC1=C(C(C2=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C2C3=O)=O)C3=C(C4=CC5=C(C(C6=CC=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC=C(CC(CC)CCCC)S8)S4)S1,5.68,5.32,11.5,0.46,0.89,1.97,50.0,25.0,2.0,5.65,3.68
CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1,6.93,6.86,16.35,0.5,0.865,1.84,97.5,46.4,2.1,5.1375,3.4258333333333333
CC1=C(C=C(C(S2)=CC3=C2C(S4)=C(N(CC(CCCCCC)CCCCCCCC)C3=O)C=C4C5=CC(CC(CCCCCC)CCCCCCCC)=C(C6=CC=C(C7=C(C(F)=C(C8=CC=C(C)S8)C9=NSN=C97)F)S6)S5)S1)CC(CCCCCC)CCCCCCCC,7.8,7.4,14.26,0.593,0.9,2.05,257.9,173.1,1.49,5.26,3.21
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NN(CCC)N=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC(F)=C(S5)C6=C(F)C=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,7.3,7.0,12.2,0.59,0.998,1.91,168.0,92.0,1.83,5.28,3.37
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NN(CCC)N=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(S7)C)S6)S5)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,9.69,9.23,16.64,0.708,0.822,1.91,99.9,58.9,1.7,5.36,3.45
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NN(CCC)N=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(C6=CC=C(C7=CC=C(S7)C)S6)S5)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,0.37,0.33,1.39,0.327,0.813,1.94,93.6,44.8,2.09,5.24,3.3
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NN(CCC)N=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=C(F)C(F)=C(C7=CC=C(C)S7)C=C6)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,10.9,10.4,16.7,0.676,0.92,2.0,140.0,70.0,2.0,5.36,3.36
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NN(CCC)N=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=C(F)C=C(C7=CC=C(C)S7)C(F)=C6)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,9.2,8.7,15.35,0.642,0.92,1.99,140.0,70.0,2.0,5.32,3.33
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCC)CCCCCCCC,7.13,7.13,14.64,0.64,0.77,1.6,140.0,70.0,2.0,5.32,3.695
