p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCC)CCCCCCCCCCC)=C(S4)C5=CC6=C(C=C(C)S6)S5)F)CC(CCCCCCCCCCC)CCCCCCCCC,10.4,10.1,14.73,0.64,1.08,1.9,125.0,55.5,2.25,5.42,3.52
CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC,6.6,6.2,13.32,0.569,0.85,1.65,140.0,70.0,2.0,5.292857142857144,3.611428571428572
CC1=C(CC(CCCC)CCCCCC)C=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)S2)S1,6.3,6.2,9.9,0.6,1.06,1.9,71.4,42.0,1.7,5.3,3.4
CC1=C(CC(CCCC)CCCCCC)C=C(C2=CC(CC(CCCC)CCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C5=C(CC(CCCCCC)CCCCCCCC)C=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=CC(F)=C(C8=C(F)C=C(C)S8)S7)S6)S5)S4)S3)S2)S1,6.5,6.4,10.7,0.6,1.02,1.91,64.4,46.0,1.4,5.31,3.4
CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=CC(CC(CCCCCC)CCCCCCCC)=C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)S2)S1,7.0,7.0,10.0,0.67,1.04,1.92,73.6,46.0,1.6,5.35,3.43
CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1,11.1,10.7,17.2,0.63,1.02,1.65,93.7,47.5,1.97,5.34,3.69
CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C4=CC=C(/C=C/C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1,5.98,5.82,12.02,0.542,0.9,1.76,140.0,70.0,2.0,5.27,3.51
CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=CC=C(C3=CC=C(C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C5=CC(F)=C(C6=C(F)C=C(C)S6)S5)S4)S3)S2)S1,7.3,7.2,11.2,0.66,0.99,1.92,68.0,40.0,1.7,5.25,3.33
CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=CC=C(C3=CC=C(C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)S3)S2)S1,4.3,4.1,6.7,0.56,1.07,2.0,62.0,34.4,1.8,5.28,3.28
CC1=C(F)C(F)=C(C2=CC(F)=C(C3=C(F)C=C(C)S3)S2)C4=NC(C5=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C5)=C(C6=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C6)N=C41,4.93,4.74,10.34,0.47,0.97,1.7,177.6,48.0,3.7,5.58,3.88
CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C)S3)S2)C4=NC(C5=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C5)=C(C6=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C6)N=C41,4.82,4.38,12.23,0.42,0.86,1.69,273.6,57.0,4.8,5.42,3.73
CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C51,8.13,7.8,16.6,0.58,0.82,1.73,304.5,87.0,3.5,5.4,3.67
CC1=C(F)C(F)=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C51,3.95,3.78,9.03,0.45,0.93,1.91,176.4,36.0,4.9,5.56,3.65
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C(S5)=C(CCCCCC)C6=C5C=C(C7=C(F)C(F)=C(C8=CC(SC(C)=C9CCCCCC)=C9S8)C%10=NN(CC(CCCCCC)CCCCCCCC)N=C7%10)S6)S4)C%11=CC(Cl)=C(CC(CC)CCCC)S%11,14.02,13.9,22.21,0.754,0.84,1.93,57.6,19.2,3.0,5.42,3.49
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CC(CC)CCCC)S9,12.31,12.31,23.77,0.614,0.84,1.94,56.1,18.1,3.1,5.46,3.52
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCCCC)CCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CC(CC)CCCC)S9,10.5,10.35,13.16,0.666,1.24,1.94,56.1,18.1,3.1,5.39,3.45
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(OC)C(OC)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CC(CC)CCCC)S9,7.31,7.26,18.44,0.53,0.75,1.92,58.3,23.3,2.5,5.2,3.28
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CC(CC)CCCC)S9,7.62,7.47,20.45,0.469,0.8,1.89,66.6,25.6,2.6,5.24,3.35
CC1=CC(C(S1)=C2C3=CC(Cl)=C(CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC(Cl)=C(CCCCCCCC)S9,13.46,13.26,21.21,0.716,0.89,1.72,50.0,25.0,2.0,5.48,3.76
CC1=CC(C(S1)=C2C3=CC(F)=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)S4)C%11=CC(F)=C(CC(CC)CCCC)S%11,12.02,11.84,24.64,0.622,0.78,1.89,54.1,17.1,3.16,5.37,3.48
CC1=CC(C(S1)=C2C3=CC(F)=C(CC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=C(CCCCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CCCCCCCC)=C(C)S7)C8=NSN=C68)S5)S4)C9=CC(F)=C(CC(CCCC)CCCCCC)S9,9.17,8.74,15.22,0.645,0.89,1.82,48.0,27.2,1.76,5.34,3.52
CC1=CC(C(S1)=C2C3=CC(F)=C(SCC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)S4)C%11=CC(F)=C(SCC(CC)CCCC)S%11,13.1,13.01,24.68,0.637,0.83,1.91,66.2,22.9,2.89,5.41,3.5
CC1=CC(C(S1)=C2C3=CC(F)=C(SCC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=C(CCCCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CCCCCCCC)=C(C)S7)C8=NSN=C68)S5)S4)C9=CC(F)=C(SCC(CCCC)CCCCCC)S9,11.66,11.12,16.88,0.652,1.01,1.81,49.5,28.1,1.76,5.41,3.6
CC1=CC(C(S1)=C2C3=CC=C(C4=CC=C(OCC(CCCCCC)CCCCCCC)C=C4)C=C3)=C(C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCC)CCCCCC)N=C79)S6)S5)C%10=CC=C(C%11=CC=C(OCC(CCCCCC)CCCCCCC)C=C%11)C=C%10,8.03,7.92,17.7,0.56,0.81,1.76,70.0,35.0,2.0,5.25,3.49
CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)S4)C%11=CC=C(CC(CC)CCCC)S%11,8.61,8.44,23.41,0.553,0.66,1.75,55.4,18.3,3.03,5.19,3.44
CC1=CC(C(S1)=C2C3=CC=C(CC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CC)CCCC)S9,13.18,12.76,22.86,0.679,0.849,2.08,170.0,53.1,3.2,5.244285714285715,3.111428571428572
CC1=CC(C(S1)=C2C3=CC=C(CC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=C(CCCCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CCCCCCCC)=C(C)S7)C8=NSN=C68)S5)S4)C9=CC=C(CC(CCCC)CCCCCC)S9,7.15,6.62,13.51,0.613,0.8,1.79,49.3,28.5,1.73,5.14,3.35
CC1=CC(C(S1)=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CCCCCC)CCCCCCCC)S9,8.58,8.21,15.2,0.62,0.91,1.99,140.0,70.0,2.0,5.316666666666666,3.3516666666666666
CC1=CC(C(S1)=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=NN(CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CCCCCC)CCCCCCCC)S9,9.26,9.07,16.47,0.69,0.82,1.97,140.0,70.0,2.0,5.13,3.16
CC1=CC(C(S1)=C2C3=CC=C(SCC(CC)CCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(SCC(CC)CCCC)S9,8.97,8.67,16.33,0.604,0.91,2.24,53.1,23.9,2.22,5.32,3.08
CC1=CC(C(S1)=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=C(CCCCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CCCCCCCC)=C(C)S7)C8=NSN=C68)S5)S4)C9=CC=C(SCC(CCCC)CCCCCC)S9,8.58,8.02,14.44,0.638,0.87,1.8,49.2,28.1,1.75,5.2,3.4
CC1=CC(C(S1)=C2C3=CC=C(SCC(CCCC)CCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCC)CCCCCC)N=C68)S5)S4)C9=CC=C(SCC(CCCC)CCCCCC)S9,10.5,10.0,19.0,0.62,0.89,1.9,69.5,30.5,2.28,5.37,3.47
CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=C(C(OCC(CC)CCCC)=O)C=C(C)S6)S5)S4)C7=CC=C(SCCCCCCCC)S7,0.01,0.01,0.08,0.26,0.56,2.0,59.9,30.4,1.97,5.63,3.63
CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C=C(C)S7)S6)S5)S4)C8=CC=C(SCCCCCCCC)S8,11.9,11.4,18.9,0.63,1.0,2.02,107.5,35.7,3.01,5.39,3.37
CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)O7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)O5)S4)C9=CC=C(SCCCCCCCCCCCC)S9,8.24,8.17,13.12,0.661,0.95,2.54,20.9,14.2,1.47,5.45,2.91
CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(SCCCCCCCCCCCC)S9,11.77,11.49,18.31,0.706,0.912,2.24,74.2,32.4,2.29,5.3116666666666665,3.165833333333333
CC1=CC(C(S1)=C2C3=CC=C([Si](CCC)(CCC)CCC)S3)=C(C4=C2C=C(C5=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C6=C(F)C(F)=C(C7=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S7)C8=NSN=C68)S5)S4)C9=CC=C([Si](CCC)(CCC)CCC)S9,8.11,7.93,12.8,0.698,0.908,1.75,123.6,79.2,1.56,5.01,3.26
CC1=CC(C(S1)=C2C3=CC=C([Si](CCC)(CCC)CCC)S3)=C(C4=C2C=C(C5=CC(CCCCCCCCCCCC)=C(C6=C7C(C(N(CC(CCCCCC)CCCCCCCC)C7=O)=O)=C(C8=C(CCCCCCCCCCCC)C=C(C)S8)S6)S5)S4)C9=CC=C([Si](CCC)(CCC)CCC)S9,6.41,6.31,11.1,0.56,1.031,2.0,138.7,87.8,1.58,5.38,3.3800000000000003
CC1=CC(C(S1)=C2C3=CC=C([Si](CCC)(CCC)CCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C7C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C7=O)=O)=C(C9=CC=C(C)S9)S6)S5)S4)C%10=CC=C([Si](CCC)(CCC)CCC)S%10,12.01,11.83,17.0,0.753,0.939,1.81,115.3,80.1,1.44,5.14,3.33
CC1=CC(C(S1)=C2C3=CC=C4C=C(OCC(CCCCCC)CCCCCCC)C=CC4=C3)=C(C5=C2C=C(C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCC)CCCCCC)N=C79)S6)S5)C%10=CC%11=CC=C(OCC(CCCCCC)CCCCCCC)C=C%11C=C%10,6.61,6.45,18.0,0.49,0.75,1.71,74.0,37.0,2.0,5.23,3.52
CC1=CC(C(S1)=C2OCC(CCCCCCCC)CCCCCCCCCC)=C(C3=C2C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CC)CCCC)N=C57)S4)S3)OCC(CCCCCCCC)CCCCCCCCCC,6.48,6.13,12.18,0.601,0.89,2.5,153.1,58.9,2.6,5.4,2.9
CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1,8.1,7.85,13.82,0.63,0.93,1.8,132.2,33.9,3.9,5.112727272727272,3.305454545454545
CC1=CC(CCCCCC)=C(C)S1,6.62,6.31,11.75,0.624,0.86,1.9,21.1,11.6,1.82,5.019816513761468,3.098899082568808
CC1=CC(F)=C(C2=CC3=C(C(SC(C)=C4)=C4[Si]3(CCCCCCCC)CCCCCCCC)S2)C5=NN(CCCCCC)N=C15,7.19,7.09,13.78,0.58,0.9,2.0,41.8,20.8,2.01,5.4,3.4
CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3C=C1,0.5,0.5,1.5,0.33,0.96,1.85,73.0,37.0,1.97,5.6,3.75
CC1=CC(N(CC(CCCCCCCC)CCCCCCCCCC)C2=O)C(C(C2=C3)=CC4=C3C5=C(N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)C=C(C6=C(CCCCCC)C=C(C7=C(F)C(F)=C(C8=CC(CCCCCC)=C(C)S8)C9=NSN=C79)S6)S5)S1,2.73,2.62,7.44,0.371,0.95,1.85,89.0,31.9,2.79,5.59,3.74
CC1=CC(N(CC(CCCCCCCC)CCCCCCCCCC)C2=O)C(C(C2=C3)=CC4=C3C5=C(N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)C=C(C6=CC=C(C(S7)=C(C(C8=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C8C9=O)=O)C9=C7C%10=CC=C(C)S%10)S6)S5)S1,6.03,5.82,14.8,0.416,0.98,1.7,34.2,12.7,2.69,5.55,3.85
CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1,1.0,1.0,3.7,0.35,0.801,1.48,21.6,18.0,1.2,4.9,3.42
CC1=CC2=C(C(C3=CC=C(CC(CC)CCCC)S3)=C4C=C(SC4=C2C5=CC=C(CC(CC)CCCC)S5)C6=C7C(C(N(C7=O)CCCCCCCC)=O)=C(S6)C)S1,0.4,0.4,0.9,0.46,0.96,1.83,48.0,20.0,2.4,5.6,3.77
CC1=CC2=C(C(C3=CC=C(CC(CCCC)CCCCCC)S3)=C4C=C(SC4=C2C5=CC=C(CC(CCCC)CCCCCC)S5)C6=CC=C(C7=C(N=C(C8=CC=C(CCCCCCCC)S8)C(C9=CC=C(CCCCCCCC)S9)=N%10)C%10=C(C=C(C%11=CC=C(C)S%11)C%12=C%13N=C(C%14=CC=C(CCCCCCCC)S%14)C(C%15=CC=C(CCCCCCCC)S%15)=N%12)C%13=C7)S6)S1,9.11,8.86,16.1,0.646,0.87,1.82,53.2,38.0,1.4,5.24,3.42
CC1=CC2=C(C(C3=CC=C(SCC(CCCC)CCCCCC)S3)=C4C=C(SC4=C2C5=CC=C(SCC(CCCC)CCCCCC)S5)C6=CC=C(C7=C(N=C(C8=CC=C(CCCCCCCC)S8)C(C9=CC=C(CCCCCCCC)S9)=N%10)C%10=C(C=C(C%11=CC=C(C)S%11)C%12=C%13N=C(C%14=CC=C(CCCCCCCC)S%14)C(C%15=CC=C(CCCCCCCC)S%15)=N%12)C%13=C7)S6)S1,11.47,11.02,17.86,0.698,0.92,1.85,68.0,40.0,1.7,5.31,3.46
CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C(C=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NN(CCC(CCCCCC)CCCC)N=C64)S3)S7)C7=C2CCC(CCCCCC)CCCC)S1,12.5,12.1,20.8,0.718,0.84,2.21,99.6,42.2,2.36,5.365,3.08
CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C3C=C(C4=CC=C(C5=C(C#N)N=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCC)N=C75)S4)SC3=C2CCC(CCCCCC)CCCC)S1,4.37,4.37,8.15,0.465,1.152,1.84,100.0,50.0,2.0,5.67,3.83
CC1=CC2=C(C(CCC(CCCCCC)CCCC)=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCC)N=C75)S4)SC3=C2CCC(CCCCCC)CCCC)S1,4.26,4.26,12.54,0.399,0.851,1.98,122.3,47.6,2.57,5.42,3.44
CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1,0.7,0.7,2.7,0.43,0.646,1.59,22.9,18.3,1.2,5.2,3.61
CC1=CC2=C(C(SC(C3=CC(CCCCCCCCCCCCCC)=C(C4=NC(SC(C5=C(CCCCCCCCCCCCCC)C=C(C)S5)=N6)=C6S4)S3)=C7)=C7[Si]2(CC(CC)CCCC)CC(CC)CCCC)S1,1.8,1.8,5.9,0.38,0.786,1.82,50.0,25.0,2.0,5.4,3.6
CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)C=C3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(CCCCCCCC)=C(C)S%10)S7)S6)S4)C(C=C5C%11=CC=C(SCC(CC)CCCC)C=C%11)=C2S1,4.62,4.57,10.63,0.469,0.925,1.88,68.5,29.0,2.36,5.34,3.46
CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)S3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C(SC(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C(S%10)=CC%11=C%10C(CCCCCCCC)=C(C)S%11)S7)=C%12)=C%12S6)S4)C(C=C5C%13=CC=C(SCC(CC)CCCC)S%13)=C2S1,8.12,8.2,15.15,0.597,0.907,1.89,39.8,21.3,1.87,5.29,3.4
CC1=CC2=C(C3=CC=C(SCC(CC)CCCC)S3)C=C(C4=C5C=C(C6=C(CCCCCCCC)C=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC(CCCCCCCC)=C(C)S%10)S7)S6)S4)C(C=C5C%11=CC=C(SCC(CC)CCCC)S%11)=C2S1,9.72,9.58,15.65,0.711,0.875,1.78,53.7,21.9,2.45,5.24,3.46
CC1=CC2=C(C=C1)C(C=CC(C3=CC=C(S3)C4=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C5=NSN=C45)C6=CC=C(S6)C)=C7)=C7N2CCCCCCCC,1.68,1.65,3.71,0.36,1.22,1.85,73.0,37.0,1.97,5.23,3.3800000000000003
CC1=CC2=C(S1)C(C(S3)=CC=C3CC(CCCC)CC)=C4C(SC(C(S5)=CC=C5C(N6CC(CCCCCC)CCCC)=C7C(C6=O)=C(C8=CC=C(C)S8)N(CC(CCCC)CCCCCC)C7=O)=C4)=C2C(S9)=CC=C9CC(CCCC)CC,8.14,8.0,18.5,0.648,0.679,1.57,280.0,101.0,2.77,5.22,3.65
CC1=CC2=C(S1)C(C3=CC(CCCCCC)=C(CCCCCC)S3)=C4C=C(SC4=C2C5=CC(CCCCCC)=C(CCCCCC)S5)C6=CC=C(S6)C7=C(C(F)=C(C8=NN(N=C87)CC(CCCC)CCCCCC)C9=CC=C(S9)C)F,6.34,6.24,11.77,0.523,1.013,2.42,100.0,50.0,2.0,5.31,2.89
CC1=CC2=C(S1)C(C3=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S9,7.51,7.43,14.09,0.553,0.96,2.57,58.6,48.8,1.2,5.54,2.97
CC1=CC2=C(S1)C(C3=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S3)=C4C(OC(C5=CC=C(C6=CC=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)S%11,4.38,4.28,9.47,0.509,0.91,2.47,66.4,49.2,1.35,5.42,2.95
CC1=CC2=C(S1)C(C3=CC=C(CC(CC)CCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)=C4)=C2C9=CC=C(CC(CC)CCCC)S9,8.33,8.12,15.28,0.69,0.79,1.89,41.1,21.4,1.92,5.45,3.56
CC1=CC2=C(S1)C(C3=CC=C(SCCCCCCCC)S3)=C4C(OC(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=C6N=C(C9=CC=CC(OCCCCCCCC)=C9)C(C%10=CC(OCCCCCCCC)=CC=C%10)=N8)S5)=C4)=C2C%11=CC=C(SCCCCCCCC)S%11,8.67,8.35,14.0,0.579,1.07,1.77,42.8,16.4,2.61,5.46,3.69
CC1=CC2=C(S1)C(CCC(CCCC)CCCCCC)=C3C=C(SC3=C2CCC(CCCC)CCCCCC)C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C65)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F,12.3,12.1,19.7,0.693,0.9,2.21,99.6,42.2,2.36,5.391578947368421,3.2194736842105263
CC1=CC2=CC(C3=CC=C(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S4)C(C5=NSN=C5C(C(S6)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C6C)=C7F)=C7F)S3)=CC=C2S1,8.5,7.8,17.5,0.537,0.899,1.83,35.2,25.0,1.41,5.55,3.72
CC1=CC2=CC=C(C3=CC=C(C4=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(S4)C(C5=NSN=C5C(C(S6)=CC(CC(CCCCCCCC)CCCCCCCCCC)=C6C)=C7F)=C7F)S3)C=C2S1,6.9,6.8,13.0,0.592,0.899,1.72,44.5,28.9,1.54,5.35,3.63
